Solution_ID,panel_scheme,truss_scheme,R_p_panel_rationalisation,R_t_truss_rationalisation,panel_widths_mm,truss_spans_m,N_panel_classes,N_truss_types,RI_panel_norm,RI_truss_norm,opening_complexity_index,N_openings_reference,P_f_prefab_level,Weight_kg,Cost_NZD,Carbon_kgCO2e,Time_hours,Cost_normalized,Carbon_normalized,Time_normalized,Cost_fitness,Carbon_fitness,Time_fitness,Cost_vs_S2_%,Carbon_vs_S2_%,Time_vs_S2_%,NZ_feasible,Hard_violations,Soft_violations,Penalty_cost,Penalty_carbon,Penalty_time,Total_constraint_penalty,Max_panel_width_m,Panel_height_m,Stud_spacing_mm,Steel_thickness_mm,Panel_lift_mass_kg,Factory_repetition_score,Unique_truss_spans,Carbon_intensity_kgCO2e_m2,Cluster_ID,Archetype,CFS_framing_A1_A5_carbon_kgCO2e,CFS_framing_A1_A5_carbon_normalized,CFS_framing_A1_A5_carbon_vs_S2_%
P1,2,2,0.6895,0.6785,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.965,1.526,1.136,1.0,12,0.7083,2167.44,18040.5,5309.08,90.45,0.9839127155215087,0.9892455921431722,0.9630026896434175,0.9839127155215087,0.9892455921431722,0.9630026896434175,-1.61,-1.08,-3.7,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.013,1,Low Time,5309.08,0.9892455921431722,-1.08
P2,2,2,0.6895,0.6785,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.965,1.526,1.136,1.0,12,0.7083,2167.44,18040.5,5309.08,90.45,0.983912715962975,0.9892455900696734,0.9630027998998905,0.983912715962975,0.9892455900696734,0.9630027998998905,-1.61,-1.08,-3.7,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.013,1,Low Time,5309.08,0.9892455900696734,-1.08
P3,2,2,0.6895,0.6785,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.965,1.526,1.136,1.0,12,0.7083,2167.44,18040.5,5309.08,90.45,0.9839127159684515,0.9892455901059085,0.9630027954881819,0.9839127159684515,0.9892455901059085,0.9630027954881819,-1.61,-1.08,-3.7,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.013,1,Low Time,5309.08,0.9892455901059085,-1.08
P4,2,2,0.6895,0.6785,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.965,1.526,1.136,1.0,12,0.7083,2167.44,18040.5,5309.08,90.45,0.9839127161490103,0.9892455912588607,0.9630026557370294,0.9839127161490103,0.9892455912588607,0.9630026557370294,-1.61,-1.08,-3.7,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.013,1,Low Time,5309.08,0.9892455912588607,-1.08
P5,2,2,0.6895,0.6785,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.965,1.526,1.136,1.0,12,0.7083,2167.44,18040.5,5309.08,90.45,0.9839127161520412,0.9892455912775756,0.9630026534785002,0.9839127161520412,0.9892455912775756,0.9630026534785002,-1.61,-1.08,-3.7,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.013,1,Low Time,5309.08,0.9892455912775756,-1.08
P6,2,2,0.6895,0.6785,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.965,1.526,1.136,1.0,12,0.7083,2167.44,18040.5,5309.08,90.45,0.9839127161549333,0.9892455912954159,0.9630026513257379,0.9839127161549333,0.9892455912954159,0.9630026513257379,-1.61,-1.08,-3.7,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.013,1,Low Time,5309.08,0.9892455912954159,-1.08
P7,2,2,0.6896,0.6785,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.965,1.526,1.136,1.0,12,0.7083,2167.44,18040.5,5309.08,90.45,0.9839127192649642,0.989245606021824,0.9630009490669886,0.9839127192649642,0.989245606021824,0.9630009490669886,-1.61,-1.08,-3.7,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.013,1,Low Time,5309.08,0.989245606021824,-1.08
P8,2,2,0.6896,0.6785,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.965,1.526,1.136,1.0,12,0.7083,2167.44,18040.5,5309.08,90.45,0.9839127198258834,0.9892456050096801,0.9630011180795792,0.9839127198258834,0.9892456050096801,0.9630011180795792,-1.61,-1.08,-3.7,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.013,1,Low Time,5309.08,0.9892456050096801,-1.08
P9,2,2,0.6897,0.6787,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.964,1.526,1.136,1.0,12,0.7085,2167.44,18040.51,5308.97,90.44,0.983912787101256,0.9892258348613336,0.9628977952412702,0.983912787101256,0.9892258348613336,0.9628977952412702,-1.61,-1.08,-3.71,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.012,1,Low Time,5308.97,0.9892258348613336,-1.08
P10,2,2,0.6885,0.6797,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.623,14.961,1.525,1.136,1.0,12,0.7092,2167.43,18040.53,5308.6,90.41,0.9839139025514728,0.989157321354938,0.9625816270130664,0.9839139025514728,0.989157321354938,0.9625816270130664,-1.61,-1.08,-3.74,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.009,1,Low Time,5308.6,0.989157321354938,-1.08
