Scenario,R_p_panel_rationalisation,R_t_truss_rationalisation,panel_scheme,truss_scheme,opening_complexity_index,P_f_prefab_level,Cost_NZD,Carbon_kgCO2e,Time_hours,Cost_normalized,Carbon_normalized,Time_normalized
full_grid,0.75,0.75,3,2,0.8,0.75,18211.56271531626,5312.730034641343,87.95678559968461,0.9932420836233652,0.9899261587924995,0.9365053658851425
full_grid,0.75,0.75,3,2,0.8,0.8,18359.065535362493,5287.951099368734,87.86834414526561,1.0012867534088872,0.9853090756632156,0.9355637000879516
full_grid,0.75,0.75,3,2,0.9,0.75,18144.696756137564,5301.953240850522,88.48712079968459,0.9895952749635971,0.9879181083152712,0.9421520224464475
full_grid,0.75,0.75,3,2,0.9,0.8,18291.699718595657,5277.1785130526105,88.3986793452656,0.9976126829704283,0.9833018091688434,0.9412103566492568
full_grid,0.75,0.75,3,2,0.9,0.8500000000000001,19288.603715902304,5258.240963034778,92.44032941591823,1.0519829212050948,0.9797731570401156,0.9842431590918441
full_grid,0.75,0.75,3,2,0.9,0.9,21296.80586318864,5244.264832055562,101.08813617999999,1.1615084416828119,0.9771689709503228,1.0763192551256384
full_grid,0.75,0.75,3,2,1.0,0.7,18069.859566339746,5319.293278202088,90.73139592016429,0.9855137226284542,0.9911490943538669,0.9660475715905184
full_grid,0.75,0.75,3,2,1.0,0.75,18081.861883846886,5291.176447059702,89.0174559996846,0.9861683181200906,0.9859100578380431,0.9477986790077528
full_grid,0.75,0.75,3,2,1.0,0.8,18228.358903445016,5266.405926736486,88.92901454526562,0.9941581324630347,0.981294542674471,0.946857013210562
full_grid,0.75,0.75,3,2,1.0,0.8500000000000001,19223.139853253837,5247.471380179934,92.97066461591822,1.0484125816161527,0.9777664501836071,0.9898898156531493
full_grid,0.75,0.75,3,2,1.0,0.9,21227.246874215693,5233.4973334154865,101.61847138,1.1577147576249291,0.975162652447581,1.0819659116869436
