variable,objective,effect_range_normalized,effect_range_percent_S2,best_level,worst_level
R_p,Cost_normalized,0.020079450082072015,2.0079450082072015,0.667,1.0
R_p,Carbon_normalized,0.01395256422651836,1.395256422651836,0.667,1.0
R_p,Time_normalized,0.02563956029835368,2.563956029835368,0.833,0.0
R_t,Cost_normalized,0.01634059469520155,1.634059469520155,0.667,1.0
R_t,Carbon_normalized,0.011101090611898234,1.1101090611898234,0.667,1.0
R_t,Time_normalized,0.015300943546448398,1.5300943546448398,0.667,0.0
opening_complexity_index,Cost_normalized,0.17324724074067,17.324724074067,1.0,1.3
opening_complexity_index,Carbon_normalized,0.028029047635407922,2.802904763540792,1.0,1.3
opening_complexity_index,Time_normalized,0.1219116762310044,12.19116762310044,0.8,1.3
P_f_prefab_level,Cost_normalized,0.17483728258752396,17.483728258752397,0.7,0.9
P_f_prefab_level,Carbon_normalized,0.054948777941135174,5.494877794113517,0.9,0.5
P_f_prefab_level,Time_normalized,0.3308817494939521,33.08817494939521,0.8,0.5
