Individual,R_p_panel_rationalisation,R_t_truss_rationalisation,opening_complexity_index,P_f_prefab_level
1,0.64996,0.68007,1.07274,0.77248
2,0.90746,0.6057,1.20244,0.55294
3,0.09172,0.83431,1.21722,0.53587
4,0.83469,0.70455,1.17457,0.52842
5,0.8863,0.10429,0.98706,0.51954
6,0.8593,0.27129,1.24591,0.74651
7,0.60081,0.24483,0.85284,0.75939
8,0.923,0.98355,1.08921,0.72691
9,0.2631,0.07642,0.83166,0.87065
10,0.89666,0.18062,1.153,0.6242
11,0.26806,0.59589,1.20376,0.57127
12,0.4747,0.06031,1.24127,0.62289
13,0.34187,0.21427,0.8819,0.632
14,0.6056,0.61904,1.05866,0.86023
15,0.64229,0.4394,1.19195,0.81255
16,0.19051,0.47494,1.19368,0.70887
17,0.28829,0.58331,1.16442,0.67626
18,0.0787,0.42517,1.01004,0.77684
19,0.91518,0.64617,1.02493,0.77476
20,0.82915,0.45575,1.00291,0.58358
21,0.14843,0.71292,1.19781,0.68362
22,0.63723,0.31239,0.9192,0.88895
23,0.87003,0.42466,0.92374,0.63705
24,0.70589,0.38196,1.06846,0.67232
25,0.99728,0.6203,1.22398,0.8044
26,0.13406,0.84512,1.26756,0.51119
27,0.17523,0.89905,1.08354,0.64528
28,0.94349,0.70818,1.05498,0.6049
29,0.36009,0.97095,1.12929,0.87627
30,0.42266,0.11453,1.28612,0.71486
31,0.68142,0.38779,0.90377,0.6435
32,0.9539,0.82304,1.04249,0.61751
33,0.63077,0.2896,1.12719,0.74249
34,0.13925,0.58525,1.16846,0.59299
35,0.75379,0.94922,1.07675,0.78236
36,0.40988,0.32489,1.11159,0.89826
37,0.48273,0.08139,1.01534,0.75077
38,0.2711,0.81771,1.01479,0.71145
39,0.72871,0.14712,1.25795,0.72318
40,0.76768,0.92534,1.06566,0.70061
41,0.65011,0.37752,1.08558,0.64176
42,0.7809,0.50448,0.86931,0.60782
43,0.0662,0.94078,1.12263,0.85708
44,0.45846,0.21607,1.09262,0.67118
45,0.90447,0.57773,1.24824,0.693
46,0.44083,0.56022,1.04393,0.8831
47,0.77226,0.96623,1.25348,0.63882
48,0.24316,0.51226,0.95257,0.73643
49,0.2942,0.55384,1.20776,0.70749
50,0.77938,0.2814,0.94531,0.54103
51,0.73234,0.05081,1.18013,0.89199
52,0.03086,0.25537,1.12074,0.655
53,0.51098,0.18925,0.91259,0.72815
54,0.28321,0.78385,0.9927,0.875
55,0.93252,0.52613,0.99854,0.76367
56,0.23031,0.53201,0.88393,0.62194
57,0.53476,0.19212,1.0374,0.7868
58,0.8933,0.3339,0.95899,0.57552
59,0.30406,0.5918,1.02673,0.85592
60,0.41687,0.75109,0.82449,0.8658
61,0.22741,0.82963,1.00783,0.55577
62,0.38173,0.87758,1.10609,0.8294
