gen,nevals,min
0,164,[0.98803334 0.97830403 0.93786738]
1,156,[0.98801252 0.97716204 0.93783532]
2,160,[0.98598117 0.97653234 0.93783532]
3,156,[0.98460416 0.97653234 0.93783532]
4,151,[0.98460416 0.97653234 0.93783532]
5,142,[0.9845859  0.97653234 0.93783532]
6,159,[0.98450928 0.97619041 0.93773563]
7,149,[0.98450928 0.97607833 0.936071  ]
8,171,[0.98450928 0.97598064 0.936071  ]
9,167,[0.98429636 0.97548823 0.936071  ]
10,155,[0.98429636 0.97548823 0.936071  ]
11,153,[0.98429636 0.97450409 0.93516639]
12,159,[0.98425647 0.97450409 0.93465984]
13,163,[0.98425647 0.97450409 0.93465984]
14,156,[0.98424723 0.97450409 0.93406826]
15,160,[0.98412811 0.97450409 0.93406826]
16,165,[0.98412625 0.97444879 0.93406826]
17,148,[0.98412625 0.97444879 0.93373149]
18,157,[0.98409738 0.97444879 0.93373149]
19,157,[0.98409738 0.97444879 0.93361761]
20,160,[0.98409738 0.97444879 0.93361761]
21,166,[0.98409738 0.97444879 0.93349933]
22,153,[0.98409738 0.97444879 0.93333482]
23,158,[0.98409738 0.97438674 0.93333482]
24,162,[0.98409738 0.97438166 0.93333482]
25,158,[0.98409738 0.97428286 0.93333482]
26,166,[0.98409738 0.97428286 0.93333482]
27,164,[0.98409738 0.97428286 0.93307602]
28,157,[0.98409738 0.97428286 0.93307602]
29,153,[0.98409738 0.9742432  0.93307602]
30,162,[0.98409738 0.9742432  0.93307602]
31,160,[0.98409664 0.97422571 0.93307463]
32,163,[0.98409664 0.97422571 0.93307463]
33,166,[0.98409664 0.97415822 0.93307463]
34,161,[0.98409664 0.97415822 0.93307463]
35,155,[0.98409142 0.97415822 0.93307463]
36,159,[0.98409142 0.97415822 0.93307463]
37,154,[0.98406216 0.97412871 0.93307463]
38,150,[0.98406216 0.97412871 0.93307463]
39,156,[0.98406216 0.97412742 0.93307326]
40,161,[0.98404489 0.97412742 0.93307326]
41,169,[0.98404489 0.97411189 0.93307326]
42,146,[0.9840347  0.97409884 0.93307326]
43,153,[0.9840347  0.97409884 0.93307326]
44,166,[0.98392041 0.97409884 0.93307326]
45,140,[0.98392041 0.97409884 0.93267312]
46,153,[0.98392041 0.97409884 0.93267312]
47,148,[0.98392041 0.97409884 0.93267312]
48,157,[0.98392041 0.97409884 0.93267312]
49,146,[0.98392041 0.97409884 0.93267312]
50,167,[0.98392041 0.97409884 0.93267312]
51,153,[0.98392041 0.97409884 0.93267312]
52,157,[0.98392041 0.97409884 0.93267312]
53,163,[0.98392041 0.97409884 0.93267312]
54,168,[0.98392041 0.97409884 0.93267312]
55,164,[0.98392041 0.97409884 0.93267312]
56,161,[0.98392041 0.97409884 0.93267312]
57,154,[0.98392041 0.97409884 0.93267312]
58,156,[0.98392041 0.97409884 0.93267312]
59,172,[0.98392041 0.97409884 0.93267312]
60,166,[0.98392041 0.97409884 0.93267312]
61,148,[0.98392041 0.97409884 0.9325571 ]
